,Race,Alcohol,Junky,Supervised Release,Married,Felony,WorkRelease,Crime against Property,Crime against Person,Gender,Priors,YearsSchool,PrisonViolations,Age,MonthsServed,Target
3552,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
3684,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1
2687,0,0,0,1,1,1,0,0,0,1,0,3,0,1,3,1
1211,1,1,0,1,1,0,0,1,0,1,0,2,2,1,0,0
4105,1,0,1,1,1,1,1,0,0,1,2,0,0,2,1,0
1657,1,0,0,0,1,0,0,0,0,1,2,1,0,2,3,1
2841,1,1,1,1,1,0,1,0,0,1,2,2,2,2,1,0
3184,0,0,0,1,1,0,0,0,0,1,3,2,2,0,2,1
2846,0,1,0,0,1,0,1,0,0,1,1,2,0,3,3,0
3307,1,0,0,1,0,0,0,1,0,1,2,3,2,1,0,0
2405,0,0,0,1,1,1,0,0,1,0,2,1,2,2,0,0
5017,0,1,0,1,1,0,0,0,0,1,3,3,2,3,0,1
1130,1,1,0,0,1,1,0,1,0,1,0,2,1,0,3,0
1461,1,0,1,1,1,0,0,1,0,1,0,1,2,0,0,0
276,1,0,0,1,0,0,1,0,0,1,2,3,2,1,3,0
4639,1,0,0,0,1,1,0,0,0,1,3,1,2,1,2,0
4148,0,0,0,1,1,0,0,0,0,1,2,1,0,2,1,1
3934,0,0,0,0,0,0,1,0,0,1,1,2,2,3,1,1
2416,0,1,0,0,1,1,0,0,0,1,0,2,2,3,0,0
1302,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
2646,1,1,1,1,0,1,0,1,0,1,0,2,0,1,1,1
222,1,0,1,0,0,1,1,0,1,1,0,2,2,3,3,0
4753,0,0,0,0,1,1,0,1,0,1,1,3,2,3,1,1
48,0,0,0,1,1,1,1,1,0,1,0,2,2,1,3,0
573,1,1,0,1,1,0,1,0,1,1,1,3,0,1,0,0
1236,0,0,0,0,1,0,0,1,0,1,2,2,0,2,0,1
4367,1,0,0,1,0,0,1,0,0,1,0,2,2,1,1,0
4788,0,0,0,1,1,1,1,0,1,1,2,2,0,3,3,0
2399,1,1,1,1,1,0,0,1,0,1,2,2,2,2,0,0
1334,1,0,0,1,0,1,1,1,0,1,2,1,0,3,1,0
4606,0,1,0,0,1,0,0,0,0,1,0,2,2,3,0,0
2585,0,1,0,1,0,1,1,1,0,1,0,0,2,3,3,0
418,1,1,0,1,1,1,1,0,1,1,2,1,2,1,1,1
267,1,1,0,1,0,0,0,0,0,0,0,2,2,3,0,1
2819,0,1,0,1,1,1,0,1,0,0,0,3,1,1,3,0
1104,0,0,0,1,1,1,0,1,0,1,0,3,0,0,1,1
257,0,1,0,1,1,0,0,1,0,1,3,1,2,0,2,1
295,0,0,0,0,0,1,1,1,0,1,2,0,2,1,0,0
3333,1,0,0,0,1,0,1,0,0,1,0,2,0,3,0,1
1935,0,0,0,0,1,0,0,1,0,0,3,1,0,1,2,1
386,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0
3485,1,0,0,1,1,1,0,1,0,0,2,3,2,2,0,0
3259,1,0,0,0,1,1,0,0,0,1,2,0,2,2,0,0
2347,1,0,0,1,0,1,0,1,0,1,2,1,0,0,1,1
2364,1,1,0,1,0,0,1,0,1,1,1,3,2,3,1,1
4442,0,1,0,0,1,0,1,1,0,1,0,1,2,0,0,0
3703,1,1,1,0,1,0,0,1,0,1,3,1,2,2,2,1
2905,0,0,0,1,1,1,1,1,0,1,2,3,1,0,3,1
4633,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0
1563,0,0,1,1,1,0,1,0,0,0,0,1,2,1,1,1
3410,0,0,0,1,1,1,0,0,0,1,2,3,2,1,2,0
1400,0,0,0,0,1,1,1,1,0,1,3,3,2,3,2,1
712,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0
2471,1,0,0,1,1,1,1,0,1,1,0,2,2,1,1,0
4386,1,1,0,1,1,0,0,0,0,1,0,3,2,1,2,1
209,1,0,0,1,1,0,1,1,0,1,3,1,2,2,2,0
909,1,0,0,1,1,0,1,0,1,1,2,2,0,3,0,0
1289,0,0,0,1,1,0,1,1,0,0,2,0,0,2,1,1
2865,1,1,0,1,1,1,0,1,0,1,0,1,1,1,3,1
1842,0,0,0,1,1,1,0,0,1,1,0,2,2,3,3,1
449,0,0,0,1,0,1,0,0,1,1,2,2,0,1,3,0
4194,1,1,1,1,1,1,0,1,0,1,0,2,0,0,3,0
2702,0,0,1,1,1,0,1,1,0,1,3,3,2,1,0,1
1820,1,1,1,1,0,0,0,0,1,1,0,3,2,0,0,0
958,0,0,0,1,1,0,1,0,0,1,0,2,2,3,2,1
1793,0,0,0,1,0,1,1,0,1,1,1,2,0,3,3,0
2215,1,0,0,1,0,1,1,1,0,1,0,0,1,0,3,1
4512,1,1,0,0,1,0,0,1,0,1,1,2,0,3,0,1
654,1,0,0,0,1,0,0,1,0,1,0,3,2,3,0,1
2758,0,1,1,0,1,0,0,0,0,1,0,1,1,2,1,1
4062,0,0,0,1,0,1,1,1,0,1,3,0,0,3,3,1
331,0,0,0,1,1,1,1,0,0,0,2,1,2,0,0,0
1760,1,0,0,0,1,1,0,1,0,1,3,3,2,2,2,0
2476,0,0,0,1,0,0,1,1,0,1,2,3,2,1,0,0
5081,0,1,0,1,1,0,0,0,0,1,3,1,2,1,2,0
2218,0,0,0,1,1,0,1,0,0,1,0,1,2,0,3,1
411,0,0,0,1,1,0,0,0,1,1,2,3,2,1,2,0
1774,0,1,1,1,1,1,0,1,0,1,0,1,1,2,3,1
2186,0,1,1,1,1,1,0,1,0,1,2,0,0,2,0,1
4429,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0
5025,1,0,0,1,1,0,0,0,0,1,1,1,2,3,2,0
2765,1,0,0,1,0,1,0,1,0,1,3,0,0,0,3,1
4418,0,0,0,1,1,0,1,0,0,0,1,1,2,3,3,0
4988,0,0,1,1,1,0,0,0,0,1,2,0,2,2,0,1
3903,1,0,0,1,1,1,1,1,0,1,0,1,0,0,3,1
4466,0,1,0,0,1,0,0,1,0,1,1,2,2,3,0,1
4323,1,0,0,1,1,0,0,1,0,1,2,1,1,2,3,0
2807,1,0,0,1,1,0,0,1,0,1,0,1,2,2,2,0
3749,0,0,1,0,1,0,0,0,0,1,2,0,1,2,1,1
2083,1,0,0,1,1,0,0,1,0,1,2,3,0,2,1,1
3550,1,1,1,1,1,1,0,1,0,1,2,1,2,2,1,0
4871,0,0,0,1,1,0,0,0,1,0,2,1,2,3,2,0
3761,1,1,0,1,0,0,0,1,0,1,2,3,2,1,1,1
430,0,0,1,1,1,1,1,0,0,1,2,2,0,0,1,1
3080,0,1,1,0,1,0,0,1,0,1,3,3,2,2,2,1
2142,0,1,0,1,1,0,1,0,1,1,0,3,0,1,1,0
1366,0,0,0,1,1,0,0,0,0,1,2,0,2,1,3,1
173,1,0,0,0,0,0,0,0,0,1,1,2,2,3,2,0
3483,1,0,0,0,1,0,0,0,0,1,0,2,2,3,0,1
1176,0,0,0,0,1,0,0,1,0,1,2,3,0,1,2,0
4944,0,1,1,0,1,0,1,0,0,1,2,0,0,0,1,1
1476,0,0,0,1,1,0,0,0,0,1,2,1,2,1,2,0
3326,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1
3112,1,0,0,0,1,1,1,1,0,1,0,3,0,0,1,1
102,0,0,0,1,1,0,0,1,0,1,0,3,0,0,0,0
3339,0,0,0,1,1,0,0,1,0,1,3,0,2,0,2,0
4688,1,0,0,1,1,0,1,0,0,1,0,1,2,1,2,1
1952,1,0,0,1,0,0,0,0,0,1,0,3,0,1,1,0
1263,0,1,0,1,1,1,0,0,1,1,0,3,0,3,3,0
3035,0,1,0,0,1,0,0,0,0,1,3,2,2,1,2,0
3311,1,0,0,1,1,0,0,0,0,1,2,2,2,1,2,0
2908,1,1,0,1,1,0,1,1,0,1,2,2,2,3,3,1
2036,1,0,0,1,0,1,1,0,1,1,2,2,2,3,3,0
4250,1,0,0,1,1,1,0,0,0,1,1,1,2,3,2,1
2886,0,0,0,1,0,1,1,0,1,1,0,1,0,3,3,0
4390,1,0,0,1,1,1,1,0,0,1,0,3,2,0,1,0
3134,1,0,0,1,1,1,1,1,0,1,2,0,2,2,0,0
0,0,1,0,1,1,0,0,1,0,1,2,1,2,0,2,1
1356,1,0,0,1,1,0,0,1,0,1,2,2,2,2,2,1
3575,0,0,0,1,1,0,0,0,0,1,2,0,2,2,0,0
3997,1,1,0,1,1,0,1,0,0,1,0,3,0,0,1,1
2873,0,0,0,1,1,0,1,0,0,1,0,3,2,1,3,0
396,0,0,0,1,0,1,0,1,0,1,0,3,0,3,3,1
3781,0,0,0,1,1,0,0,0,0,1,3,0,2,0,2,1
4163,0,0,0,1,1,1,0,1,0,1,2,1,1,2,3,1
1812,1,1,0,0,1,0,1,0,0,1,0,2,0,1,1,1
2685,0,0,0,1,0,0,1,0,0,1,2,2,2,3,2,0
3292,0,0,0,1,1,1,1,1,0,1,3,2,0,1,3,1
816,1,0,0,1,0,0,0,0,0,1,2,1,0,1,1,1
1572,0,0,0,1,1,0,1,0,0,1,0,3,0,0,1,0
3128,0,0,0,1,1,0,0,0,0,1,2,3,2,0,2,0
1800,0,0,0,0,0,1,1,1,0,1,0,1,1,3,3,0
4030,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1
3691,0,0,0,0,1,1,1,1,0,1,0,3,0,1,3,1
2432,1,1,1,1,1,0,0,0,0,1,2,2,0,2,1,1
4431,1,0,0,0,1,0,0,0,0,1,0,2,2,3,0,1
4366,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,1
2561,1,1,0,1,1,0,1,0,0,1,0,0,2,3,3,1
5020,1,0,0,1,0,0,0,0,0,1,2,3,2,0,2,0
3185,1,0,0,1,0,0,1,0,0,1,2,1,2,2,1,0
3338,1,0,0,0,0,0,1,0,0,1,2,2,2,2,0,0
554,1,0,0,1,1,0,0,0,0,1,0,0,2,1,2,0
1159,1,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0
1213,1,0,0,1,1,0,1,0,0,0,2,2,2,1,2,0
2316,1,0,0,1,1,0,1,1,0,1,1,3,2,3,0,0
3794,0,0,0,1,1,1,0,0,0,1,2,1,1,2,1,1
2659,0,0,0,1,1,1,1,1,0,1,0,2,0,1,3,0
700,0,0,0,1,1,0,0,1,0,1,3,2,0,0,2,1
4553,0,1,1,1,1,1,1,1,0,0,2,3,0,1,1,0
3235,0,0,0,1,1,1,0,0,1,1,2,1,1,2,3,1
3488,0,1,0,1,1,1,0,0,0,1,2,0,0,1,1,1
1455,0,0,0,1,0,0,1,0,0,1,2,3,2,0,1,1
4299,0,0,1,1,1,1,1,1,0,1,2,2,2,0,1,0
2380,0,0,0,1,0,0,0,0,1,1,3,0,2,1,2,0
2121,1,0,0,1,1,1,0,1,0,1,0,1,0,0,3,1
866,1,1,0,1,1,0,1,0,1,1,0,1,0,0,3,1
1644,1,0,1,1,1,1,1,0,0,1,2,1,2,0,1,0
2974,1,1,0,1,0,0,0,0,0,1,2,1,2,3,1,0
2877,0,1,0,1,1,1,1,1,0,1,1,0,2,1,0,1
1490,0,0,1,1,1,1,0,1,0,1,0,1,2,2,2,1
4427,1,0,0,1,0,1,0,1,0,1,0,1,0,0,3,1
729,1,1,0,1,0,0,1,0,0,1,1,1,2,3,0,1
2859,1,0,0,0,1,0,1,0,0,1,0,3,2,3,0,1
4094,1,1,0,0,1,1,0,1,0,1,0,1,2,1,1,1
1936,1,1,0,1,0,0,0,1,0,1,0,2,2,0,0,0
1110,0,1,0,0,1,0,0,1,0,1,2,0,2,2,0,1
4168,1,0,0,1,1,0,0,0,0,1,0,1,0,2,1,1
4581,0,0,0,1,1,0,0,1,0,1,2,2,0,2,2,1
1185,1,1,0,1,1,0,1,0,0,1,3,2,2,1,2,1
2007,1,0,0,0,1,1,1,0,0,1,2,1,0,0,0,0
193,1,0,0,0,1,0,0,0,0,1,3,2,2,3,2,1
1515,1,0,0,0,1,1,1,1,0,1,0,1,0,0,3,0
578,1,1,0,1,0,0,0,0,0,1,0,3,2,1,0,1
1429,0,0,0,1,0,0,1,0,0,1,0,1,2,1,3,0
3785,1,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1
5071,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1
1846,1,0,1,1,0,1,0,0,0,1,0,2,2,3,1,1
131,0,0,0,1,1,1,0,1,0,1,0,0,2,1,0,1
178,1,0,0,1,1,1,1,0,1,1,2,1,0,0,1,0
4576,1,1,1,0,1,0,1,0,0,1,2,0,1,2,3,0
2836,1,0,0,0,1,1,1,1,0,1,2,2,0,0,3,0
2651,0,0,0,0,0,1,1,0,0,1,2,3,0,1,1,1
2495,1,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1
4420,0,0,0,0,1,1,0,1,0,1,0,1,2,2,0,1
2073,1,1,0,1,1,1,1,1,0,0,0,2,2,3,1,1
658,0,0,0,1,1,0,0,1,0,1,0,0,2,1,2,0
1896,1,1,0,1,1,1,0,0,1,1,2,2,2,3,0,0
4153,0,0,1,1,0,1,0,1,0,1,2,3,0,1,1,1
3269,0,1,0,0,1,0,0,0,0,1,2,1,2,3,2,0
342,0,0,0,1,0,0,0,0,0,1,2,1,2,0,2,1
2678,1,0,0,1,1,0,1,0,0,1,0,1,0,2,3,1
727,1,0,0,1,0,1,1,0,0,1,2,1,0,1,1,0
3988,0,0,0,0,1,0,1,0,0,1,2,0,0,0,3,1
976,1,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0
4728,1,0,0,1,0,0,0,0,0,1,2,2,0,2,1,0
3138,1,0,1,1,1,1,1,1,0,1,2,1,2,2,1,1
1928,0,0,0,1,0,1,0,1,0,1,2,3,0,2,0,0
2751,1,0,0,1,1,0,0,0,0,1,0,3,0,1,1,1
3413,1,0,0,0,1,0,0,0,0,1,2,2,2,2,1,0
1299,0,0,0,0,1,0,1,0,0,1,3,3,2,0,2,1
3942,0,0,0,0,0,0,0,1,0,1,3,3,2,1,2,1
4710,1,0,0,1,1,0,0,1,0,1,2,2,2,3,0,1
660,1,1,0,1,0,1,0,1,0,1,0,2,2,3,1,0
1790,1,0,0,0,1,1,0,0,0,1,3,3,2,2,2,1
2517,1,0,0,0,0,1,1,1,0,1,0,1,2,0,2,1
2932,0,0,0,1,1,0,1,0,0,1,2,1,0,1,0,1
3137,1,1,1,0,1,1,0,1,0,1,2,1,2,2,2,1
4230,1,0,0,0,1,0,0,0,0,0,3,0,2,2,2,1
4074,0,0,0,1,1,0,0,0,0,1,2,1,2,1,2,0
3220,0,0,0,1,0,0,1,0,0,1,2,3,2,3,2,0
4873,1,0,0,1,1,0,1,0,0,1,0,3,2,3,2,0
3365,1,0,0,1,1,1,1,1,0,0,2,1,2,0,1,0
1278,0,0,0,1,1,1,0,0,0,1,2,3,2,1,2,0
3427,1,1,0,1,0,0,1,0,1,1,1,3,2,3,1,1
1621,1,1,0,0,0,0,1,0,1,1,1,2,2,3,1,1
3243,0,0,0,1,1,0,0,0,0,1,2,1,0,0,1,1
4068,0,0,0,1,1,0,0,0,0,1,2,1,2,2,1,0
67,0,0,0,1,1,0,1,0,0,1,0,1,2,2,1,1
4217,0,0,0,0,0,0,0,1,0,0,3,2,2,1,2,1
2231,0,0,0,0,1,0,1,0,0,1,0,1,2,0,2,1
3996,0,0,0,0,1,1,0,1,0,1,2,3,2,2,0,0
820,0,0,0,0,1,0,0,0,0,1,0,2,1,2,3,1
1226,1,0,0,1,1,0,0,1,0,1,0,1,2,2,2,0
3154,0,0,0,1,1,0,0,1,0,1,0,1,0,2,0,1
4292,1,0,0,0,0,0,1,0,0,1,2,1,2,1,0,1
3492,1,1,0,0,1,0,0,1,0,1,2,1,0,0,3,0
2890,0,0,0,1,0,0,0,0,0,1,2,3,0,0,1,1
4567,1,0,0,1,1,1,1,1,0,1,2,2,0,0,1,0
4376,0,1,0,1,1,0,0,1,0,1,1,2,2,3,0,1
3528,0,0,0,0,1,0,0,0,0,1,3,2,0,0,3,0
1143,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1
397,1,0,0,1,1,0,1,0,0,1,0,1,2,0,1,1
3063,1,0,0,1,1,1,1,1,0,1,0,2,2,2,0,1
4408,0,1,1,1,1,0,0,1,0,1,1,3,0,0,3,1
2906,1,1,1,1,1,0,1,0,1,1,2,3,2,2,2,0
1398,0,0,0,1,1,0,0,1,0,1,2,3,2,2,0,0
1659,0,0,0,1,1,1,1,1,0,1,2,3,1,0,3,1
979,0,0,0,0,1,1,0,0,1,0,3,1,2,0,2,0
1298,0,0,1,1,1,0,1,0,0,1,2,1,2,0,1,0
3321,0,1,0,1,1,1,1,0,0,1,2,1,0,3,3,0
82,0,0,0,1,1,0,1,0,1,1,0,0,2,0,0,1
4733,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,0
2586,1,0,1,0,1,1,1,1,0,1,0,1,1,1,3,1
3941,0,0,0,1,0,0,0,1,0,0,2,1,2,1,2,0
3986,0,1,0,0,0,0,1,0,0,1,1,2,2,1,1,0
4524,1,0,0,1,1,0,1,0,0,1,0,1,2,1,0,0
423,1,0,0,0,1,1,0,0,0,1,0,2,0,2,1,0
4446,0,0,0,1,0,0,0,1,0,1,2,3,2,0,1,1
1904,1,0,0,1,1,0,1,0,0,1,1,2,2,3,1,1
4648,1,0,0,0,1,0,0,0,0,0,2,2,2,2,3,0
4221,0,0,0,1,1,1,0,1,0,1,0,1,0,2,3,1
3271,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0
1565,1,1,0,1,0,0,1,0,0,1,1,1,2,3,0,1
3535,1,1,0,1,1,0,1,0,0,1,0,1,2,3,1,1
839,0,1,0,1,1,0,0,0,0,1,0,1,2,3,1,1
500,0,1,0,1,1,0,1,0,1,1,0,1,2,3,0,1
141,1,0,0,0,0,0,0,0,0,1,0,1,2,3,1,0
1377,1,0,0,1,1,0,0,1,0,1,2,2,2,2,2,1
3898,0,0,0,1,0,0,1,1,0,0,0,0,2,1,3,1
2589,1,0,0,1,0,0,1,0,0,1,0,1,0,3,1,0
1138,1,1,0,1,1,0,0,0,0,1,2,1,2,3,0,1
2677,1,0,0,1,0,0,1,0,0,1,2,2,2,1,0,0
1787,0,0,0,1,1,1,1,0,1,1,2,2,0,3,3,0
2699,1,0,0,1,0,0,1,0,0,1,2,3,2,1,1,0
550,0,1,0,1,0,0,1,0,1,1,0,2,2,1,0,1
3268,0,0,0,0,1,0,0,0,0,1,2,1,2,3,1,0
2019,0,0,0,0,1,1,0,0,1,1,2,1,2,0,0,1
948,0,0,0,1,1,0,1,0,0,1,2,3,0,0,1,0
2379,0,0,0,0,1,0,0,0,0,1,1,2,2,3,2,1
532,0,1,0,1,0,0,1,0,0,1,2,3,2,1,0,1
2856,1,1,0,1,1,0,0,0,0,1,2,3,0,1,3,0
1829,1,1,0,1,1,1,0,0,0,1,2,2,1,2,3,0
3074,1,0,0,1,0,0,0,1,0,1,0,0,2,0,2,1
4526,1,0,0,0,1,1,0,0,0,1,2,0,2,2,2,0
4082,0,0,0,1,1,0,0,0,1,1,2,3,0,2,0,0
1602,0,1,1,1,1,0,0,0,0,1,2,0,0,2,1,1
639,0,0,0,0,1,1,1,1,0,1,0,1,0,1,3,1
4950,0,1,0,0,1,0,0,1,0,1,2,0,2,2,1,1
967,0,1,1,0,1,0,0,0,0,1,0,1,1,2,3,1
4342,0,0,0,1,1,1,1,0,1,1,2,3,2,1,0,0
2764,0,0,0,1,0,1,1,1,0,1,2,0,2,0,0,0
1683,0,1,0,1,1,1,0,1,0,1,2,2,0,2,1,0
4580,1,1,0,1,1,0,0,0,0,1,2,2,2,1,2,0
2463,0,1,1,1,1,1,1,1,0,1,2,1,0,2,3,1
155,1,1,1,1,1,0,0,1,0,1,2,0,0,2,1,1
4628,1,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0
3105,1,0,0,1,0,0,0,0,0,1,2,3,0,0,3,0
1089,0,0,0,1,1,0,1,0,0,1,0,0,0,0,3,0
2794,0,1,1,0,1,0,0,0,0,1,0,2,1,3,3,1
4345,0,1,0,1,0,0,1,0,0,1,0,3,0,1,3,0
288,1,0,0,1,1,1,0,1,0,1,2,3,2,2,2,0
930,1,0,0,1,0,1,1,1,0,1,3,3,0,1,3,0
5083,0,1,1,1,1,1,1,1,0,1,0,0,0,0,3,1
3226,1,0,0,1,1,0,0,0,0,1,2,3,2,0,2,0
3554,0,1,0,1,0,0,0,1,0,1,2,1,2,3,2,1
4135,0,0,0,1,1,1,0,1,0,1,2,1,2,0,2,1
3871,1,1,0,1,0,1,0,0,1,1,2,1,0,2,3,1
942,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,1
4069,1,1,0,1,0,0,1,0,0,1,2,3,2,1,2,0
4776,1,0,0,1,0,0,1,0,1,1,2,2,2,1,0,0
1698,1,1,0,1,1,0,0,1,0,1,0,3,2,3,0,0
4824,1,0,0,0,1,0,1,0,0,1,2,3,0,1,1,0
4214,0,1,0,1,1,1,1,1,0,1,2,3,0,0,1,0
3799,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,1
3361,1,1,1,1,0,0,0,1,0,1,2,2,2,2,2,1
3274,1,0,0,1,0,0,1,0,0,1,0,2,2,1,1,0
985,0,0,0,1,1,0,0,0,0,1,0,0,1,0,3,0
4237,1,0,0,0,1,0,0,0,1,1,2,1,0,1,0,0
2299,1,0,0,1,0,0,0,0,0,1,0,2,2,1,2,0
3295,1,0,0,1,1,0,1,1,0,0,2,1,2,1,0,0
4894,1,0,0,1,1,0,0,1,0,1,2,2,0,2,1,1
981,0,0,0,1,1,0,0,1,0,1,2,0,0,2,0,1
4296,0,0,0,1,0,0,0,0,0,1,2,1,2,1,2,0
2554,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1
3334,0,0,0,1,1,1,1,0,0,1,3,1,1,1,3,1
3100,0,1,0,0,1,1,1,0,1,1,2,2,2,1,1,0
3715,1,1,1,1,1,0,0,0,0,1,2,3,0,0,1,0
4056,0,1,0,1,1,0,1,0,0,1,2,2,0,0,1,1
1457,0,1,0,1,0,0,0,0,0,1,0,1,2,0,2,1
1395,0,0,0,1,1,0,0,0,0,1,2,1,2,3,2,0
264,0,0,1,1,1,0,1,0,0,0,0,2,2,3,3,0
2519,0,1,1,1,1,1,1,1,0,1,0,1,0,0,3,1
929,1,0,0,1,1,1,0,1,0,1,2,1,1,2,3,1
3227,1,0,0,0,0,0,1,0,0,1,1,2,1,1,3,1
4098,0,0,0,1,1,1,0,1,0,1,0,2,1,2,1,1
2178,0,0,0,1,1,0,0,0,1,1,3,1,2,3,2,1
2833,0,1,1,1,1,1,0,1,0,1,2,1,2,2,1,1
246,0,0,0,1,1,1,1,0,1,1,0,1,2,3,3,0
3784,0,0,0,1,1,1,1,0,1,1,0,2,2,3,3,0
1758,1,1,0,1,1,1,0,1,0,1,2,2,2,2,1,1
4983,1,0,0,1,1,1,1,0,0,1,2,3,2,0,1,0
2960,1,1,1,1,1,0,0,0,0,1,1,1,0,3,3,0
923,1,0,1,1,1,1,1,0,1,1,0,2,0,3,3,0
4625,0,0,0,1,1,1,0,1,0,1,2,0,1,0,1,0
268,0,0,0,0,1,1,1,1,0,1,0,0,2,0,3,0
669,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1
2882,0,0,0,1,1,1,0,0,0,1,1,0,0,3,3,1
1910,1,0,0,0,1,0,0,0,0,0,3,2,2,3,2,0
4951,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,1
1152,0,0,1,1,1,0,1,0,0,1,2,2,2,1,3,0
4934,1,0,0,1,1,1,0,1,0,1,2,2,0,2,3,1
4099,1,0,0,1,1,1,1,0,0,1,2,1,0,0,0,1
4346,1,0,1,1,1,1,1,0,0,1,2,2,0,1,1,0
4088,1,1,1,0,1,0,1,0,0,1,0,3,2,3,1,0
2280,0,0,1,0,1,0,0,0,0,0,2,3,0,2,0,1
3408,0,0,0,1,0,1,0,1,0,1,0,3,2,1,3,0
1915,0,0,0,1,0,1,1,1,0,1,0,2,0,3,3,0
612,1,0,0,1,0,0,0,0,0,1,1,2,2,3,1,0
4712,1,0,0,1,0,0,0,1,0,0,2,3,2,3,0,0
2267,0,0,0,1,1,0,0,0,0,0,2,1,2,2,2,0
3718,1,0,0,1,0,0,1,1,0,1,0,0,2,3,1,1
1898,1,0,0,1,1,0,1,0,1,1,0,2,2,3,0,1
1649,0,0,0,1,1,1,0,1,0,1,0,1,1,0,3,1
2998,1,0,0,1,0,0,0,0,0,1,2,2,2,3,0,0
258,1,1,1,1,0,1,0,1,0,0,2,1,1,2,3,0
847,1,0,0,0,1,0,0,0,1,1,2,3,2,3,2,1
4357,1,1,1,1,1,0,1,1,0,1,2,1,0,2,1,0
1233,0,0,1,1,1,0,0,0,0,1,2,2,0,2,1,0
1127,0,0,0,0,0,1,0,1,0,1,2,1,1,0,3,1
2594,0,0,0,1,1,1,0,0,1,1,2,0,2,0,3,1
1967,1,0,0,1,1,0,0,0,0,0,2,0,2,2,2,0
558,1,0,0,1,0,1,1,0,1,1,0,0,1,1,3,0
904,1,0,1,1,1,1,1,0,1,1,2,3,0,3,3,0
484,1,1,1,0,1,0,0,1,0,1,2,1,0,2,1,1
2211,1,1,0,1,0,0,1,0,0,1,2,2,2,3,3,0
1320,1,0,0,1,1,0,1,0,0,1,2,0,2,2,1,1
2937,0,1,0,1,1,1,0,0,1,1,0,1,0,2,1,1
7,0,0,0,1,1,0,1,0,0,1,0,1,2,3,2,0
3456,0,0,0,1,0,1,1,1,0,1,2,3,0,0,3,1
4026,1,1,0,1,1,1,1,1,0,1,2,1,0,0,3,1
1450,0,0,0,0,1,0,0,0,0,1,2,2,1,2,1,1
1201,0,1,1,1,1,0,0,1,0,1,0,1,2,2,2,1
1814,1,0,0,0,1,0,1,0,1,1,2,1,0,2,0,1
773,1,0,0,0,1,1,0,1,0,1,2,2,2,1,1,0
2274,1,1,0,1,0,0,1,0,0,1,0,3,0,3,1,1
1011,0,0,0,1,1,1,0,1,0,1,2,2,2,2,3,1
2968,0,0,0,1,1,1,1,0,0,1,2,3,2,3,3,0
2574,0,0,0,1,1,0,1,0,0,1,0,0,2,1,1,0
1991,0,1,0,1,1,1,0,1,0,1,0,1,2,3,1,1
1277,1,0,0,1,1,0,1,1,0,1,0,1,2,3,2,1
1783,0,0,1,1,1,1,1,0,0,1,2,3,2,0,1,0
3275,1,1,1,1,1,0,0,0,0,1,2,2,2,2,2,0
446,1,0,0,1,1,0,0,1,0,1,2,2,0,2,2,1
880,1,0,0,1,1,0,0,0,0,1,2,1,2,2,3,1
4569,0,0,1,1,1,0,0,0,0,0,0,1,2,1,1,1
781,1,0,1,0,1,0,1,0,0,0,0,1,2,2,0,0
1749,1,0,0,1,1,1,1,0,1,1,2,3,2,3,1,0
4179,1,0,0,0,1,0,0,0,0,1,0,2,0,0,3,0
3826,0,0,0,1,1,0,1,0,1,1,0,0,2,0,1,0
5000,1,1,0,1,0,0,0,0,0,1,2,2,0,3,0,0
4428,1,0,0,1,1,0,0,0,0,1,3,2,0,1,2,1
883,1,0,0,1,1,1,1,1,0,1,1,2,0,3,3,0
2497,1,0,0,1,1,0,1,0,0,1,0,2,1,1,3,1
1091,0,0,1,1,1,1,1,1,0,1,2,3,2,0,3,0
3096,1,0,0,1,1,0,1,1,0,1,0,1,2,0,1,1
531,1,0,0,1,0,0,1,0,0,1,2,1,2,1,3,0
2671,1,1,1,1,1,1,0,1,0,1,2,2,0,2,3,1
4159,1,0,0,1,0,0,1,0,0,1,0,3,0,3,3,0
4196,0,0,0,1,1,1,0,1,0,1,2,1,1,2,3,1
